Comune,Provincia,Regione,Nome,Tipo,Annoinserimento,Longitudine,Latitudine
ALTRO,ALTRO,ALTRO,,Monumento,2010,13.842001,45.690617
ALTRO,ALTRO,ALTRO,,"Monumento commemorativo, sacrario",2012,13.5859679999999,45.8582448
ALTRO,ALTRO,ALTRO,,"Monumento commemorativo, sacrario",2012,13.5825669999999,45.8523305
ALTRO,ALTRO,ALTRO,,"Monumento commemorativo, sacrario",2012,7.062504,45.4552107
ALTRO,ALTRO,ALTRO,,"Monumento commemorativo, sacrario",2013,12.1998273,46.8875683999999
ALTRO,ALTRO,ALTRO,,"Monumento commemorativo, sacrario",2013,12.4399005,46.6908389999999
ALTRO,ALTRO,ALTRO,,"Monumento commemorativo, sacrario",2013,13.8917178,45.6460729
ALTRO,ALTRO,ALTRO,,"Monumento commemorativo, sacrario",2014,9.969287,46.3783948
ALTRO,ALTRO,ALTRO,,"Monumento commemorativo, sacrario",2014,12.9506967,46.6188719
ALTRO,ALTRO,ALTRO,,"Monumento commemorativo, sacrario",2014,12.9417224999999,46.6223020999999
ALTRO,ALTRO,ALTRO,,"Monumento commemorativo, sacrario",2014,7.7118746,44.0617671999999
ALTRO,ALTRO,ALTRO,,"Monumento commemorativo, sacrario",2014,13.6429116,45.9814932999999
ALTRO,ALTRO,ALTRO,Al Colonnello Costantino Bernasconi,"Monumento commemorativo, sacrario",2014,9.027847,45.8350388
ALTRO,ALTRO,ALTRO,Al Col. Pietro Mola,"Monumento commemorativo, sacrario",2015,8.98740229999999,45.8540055
ALTRO,ALTRO,ALTRO,Angelo Tarchini - Sindaco,"Monumento commemorativo, sacrario",2014,8.9974838,45.8454514
ALTRO,ALTRO,ALTRO,Arbre de la Liberté,Monumento,2011,6.9431213,44.8374437
ALTRO,ALTRO,ALTRO,Auf der Wacht,"Monumento commemorativo, sacrario",2011,13.1102731,46.5963921
ALTRO,ALTRO,ALTRO,Dessan,Monumento,2013,13.8347479999999,45.687679
ALTRO,ALTRO,ALTRO,Freundschaftszeichen,Monumento,2012,13.7141455,46.5230545
ALTRO,ALTRO,ALTRO,Freundschaftszeichen,Monumento,2012,13.7141459,46.5226583999999
ALTRO,ALTRO,ALTRO,Gedenkstein für das k.u.k. ?Kärntnerische?,"Monumento commemorativo, sacrario",2015,12.9740718,46.604222
ALTRO,ALTRO,ALTRO,Grenzstein Italia/Austria,Monumento,2014,11.5058694,47.0064804
ALTRO,ALTRO,ALTRO,Heini Klammer,"Monumento commemorativo, sacrario",2011,12.4107958,46.7180145
ALTRO,ALTRO,ALTRO,"Heinricher, Lederer, Golser, Wassermann","Monumento commemorativo, sacrario",2011,12.8807325,46.6142462999999
ALTRO,ALTRO,ALTRO,Heldenkreuz,"Monumento commemorativo, sacrario",2013,12.2002139,46.8903667
ALTRO,ALTRO,ALTRO,Kurt Schütze,"Monumento commemorativo, sacrario",2011,12.8807338,46.6142265
ALTRO,ALTRO,ALTRO,mirenski grad,Monumento,2014,13.6041086,45.8835545
