listing_id,id,date,reviewer_id,reviewer_name,comments
2737,24343517,2014-12-26,24333039,Raphaell,"This spot was in a great and nice area,walking a distance about 700 m: nearby from subway, train and bus connection to tourist spots. The room, that I rented, was clean and warm :)"
2737,24966779,2015-01-04,10493776,Ia,"Elif was really very helpful, while arranging reservation of the single room I rented at her flat. The room was clean and cosy, with all the furnishing that was necessary for comfortable stay in Rome. Mr. Picchioni was really helpful and helped me to feel as comfortable as possible."
2737,29770086,2015-04-12,29630601,Julia,"Elif's flat is spacious, clean, and had everything I needed for a wonderful introduction to Rome.  I did not get to meet Elif, but she was patient and responsive when I was trying to make the booking.  I met Daniele, her husband, who clearly loves Rome and was always happy to offer suggestions on where to go, what to do, or how to get there.  Excellent hosts that made me want to live in Italy!"
2737,30477570,2015-04-22,31215535,Sevil,I had a wonderful time staying with Elif and her family. The rooms location was so close to the center that getting from place to place was so easy! I really enjoyed coming back to the apartment after a long days walk. The bed was so comfortable and it was great having my own bathroom. This is my first airbnb experience and it defiantly was a positive one!
2737,31659336,2015-05-08,1959813,Suzy,"Elif was a brilliant host, with an exceptionally clean home, very calm room with own bathroom, perfectly located in the up and coming Ostiense neighbourhood, five minutes from the amazing Eataly food emporium."
2737,33489098,2015-05-28,4161822,Ghady,The host canceled this reservation 4 days before arrival. This is an automated posting.
2737,33489100,2015-05-28,9634747,Maria,The host canceled this reservation 49 days before arrival. This is an automated posting.
2903,282,2008-11-16,3734,Teresa,"Very nice room, great area, all very new and clean. Breakfast token included for the cafe downstairs. Shared bathroom with 2 rooms, so can get crowded, but worked fine in general. Totally recommandable!"
2903,318,2008-11-28,3726,Katherine,"Everyone was nice and friendly, the rooms and bathrooms new-looking and clean.  The location was also excellent.  I would def. stay here again."
2903,562,2009-01-21,5120,Joseph,The location is great - very close to city center and old Rome...lots of fun cafes and shops nearby.  The room is clean and simple; Andrea and his wife are very friendly and accommodating.  Thumbs up!
2903,794,2009-02-23,7671,Tina,"Great Location in the Heart of Roma.
Rooms were clean at a adequate price.
You have to check out the Restaurantes next to the Hostel!
If we stay in Rome, it´s our first choice.

Tina+Daniel"
2903,1911,2009-04-30,10045,Mark,"Andrea and his wife were great hosts, and very helpful.  The rooms and bathrooms were very clean, and large!  Awesome location! Nearby: excellent restaurants, bars, shopping, and more! We will recommend this BnB to all our friends."
2903,3591,2009-06-06,15600,Bernard,We could only find availability at Andre's place for one night but it was a very nice experience. Both he and his wife were lovely to deal with and extremely helpful. Cant beat the location or though on when we first arrived we thought it would be loud from the torrent of street traffic but I slept like a baby. Recommended
2903,5580,2009-07-15,21066,Anthony,Bathroom was clean and the bedroom was cozy as well as the location itself. The ticket provided for breakfast at the bar downstairs served great coffee and was a pleasant touch to our stay at Calisto6.  
2903,5957,2009-07-22,23879,Allison,"lovely room & clean bathroom. also, andrea is very kind. although he was not home when we arrived, he answered his mobile phone several times when we needed help and had questions about the building.

note: Americans who like a big breakfast... be aware that the breakfast offered in the cafe downstairs is just a croissant and a cappucino."
2903,5987,2009-07-23,13266,Jennifer,"Andrea was wonderful and so friendly. The room was nice and clean and the bathroom was so spacious. We only stayed for one night, but it was great. Thanks Andrea and we hope to see you again! "
2903,6061,2009-07-25,20102,Ryan,"Andrea was very friendly and helpful upon our arrival in Rome. His apartment is in the wonderful Trastevere area of Rome, away from the touristy areas, but still close enough to walk to all the major sites. The apartment's location ensures an authentic Rome experience with beautiful piazzas, great restaurants, and an amazing atmosphere. Thanks Andrea!!"
2903,9703,2009-09-11,28950,Christopher,"If what you're looking for is a simple, friendly place right in the heart of Rome, then Calisto 6 is perfect. Set above a lively bar, popular with the locals, the apartment is spacious, clean, and nice and cool even in the Roman summer heat. Andrea welcomed us and, even though we didn't have any problems, was there when we needed to ask him something. He allowed us to leave our luggage in the apartment during our last day as our flight home wasn't until late, and this really helped us to enjoy our final day hassle-free. 

The location is superb, we couldn't have asked for anything more. Trastavere is a wonderful place; a picturesque quarter of Rome away from the tourists, but very central and within walking distance of all the sights. There are plenty of shops, and dozens of great restaurants to choose from. 

We had an amazing time in Rome, and Calisto 6 was the perfect base to enjoy it from. We'll be back! Highly recommended.

Chris and Abbi.

"
2903,21040,2009-12-21,60522,Kelsey,We had a great experience at the B&B. We really enjoyed the breakfast in the morning at the downstairs bar and the Trastevere area is beautiful and less expensive for meals. It was a 30 minute walk to the monuments but we enjoyed exploring the city this way. I will recommend this place to my friends and family when they visit me in Europe! Andrea and his wife were very helpful and were always available when I needed something. Thank you!
2903,24821,2010-01-25,33284,Araz,"Andrea's Bed and Breakfast was delightful and in the heart of Trastevere. The tram/bus stops were only a short walk away, however for those keen on walking...all the sights of Rome are only around 20min away. We had a very large, tastefully decorated room with a private bathroom across the hall which was cleaned daily. When another guest suddenly fell ill, Andrea promptly organised another local bnb. Lots of local restuarants in one of Rome's most charming locations."
2903,25908,2010-02-12,70424,Scott,"I also had a terrific experience at Calisto 6. The location can't be beat for exploring Rome, and Andrea was a very helpful and accommodating host. Trastavere is also a hip neighborhood to have an authentic Roman experience. Like others here, I will recommend this place to family and friends should they ever have the good fortune to visit The Eternal City. "
