WBAN,NAME,STATE/COUNTRY ID,LAT,LON,ELEV,Latitude,Longitude
33013,AIN EL,AL,3623N,00637E,611,36.38333333,6.65
33031,LA SENIA,AL,3537N,00037E,88,35.61666667,0.583333333
33023,MAISON BLANCHE,AL,3643N,00314E,23,36.71666667,3.216666667
33044,TELERGMA,AL,3607N,00621E,754,36.11666667,6.416666667
12001,TINDOUF,AL,2741N,00809W,443,27.68333333,-8.083333333
11604,ST JOHNS/COOLIDGE FIELD,AT,1707N,06147W,10,17.11666667,-61.73333333
82502,AMBERLY,AU,2736S,15243E,27,-27.6,152.8166667
82501,ARCHER,AU,2735S,15301E,19,-27.58333333,153
82506,BRISBANE,AU,2726S,15305E,2,-27.43333333,153.1333333
82402,CHARLEVILLE,AU,2625S,14616E,300,-26.41666667,146.2166667
82403,CLONCURRY,AU,2041S,14030E,188,-20.68333333,140.5833333
81404,HORN ISLAND,AU,1036S,14218E,12,-10.6,142.1666667
82404,LONGREACH,AU,2327S,14408E,187,-23.45,144.0666667
82405,MACKAY,AU,2110S,14910E,8,-21.16666667,149.3
82503,ROCKHAMPTON,AU,2324S,15030E,13,-23.4,150.5333333
13201,LAJES,AZ,3846N,02706W,55,38.76666667,-27.03333333
12706,GREAT EXUMA ISLAND,BA,2331N,07547W,19,23.51666667,-75.73333333
13601,BERMUDA,BE,3222N,06441W,6,32.36666667,-64.66666667
32503,BAHREIN ISLAND,BN,2616N,05038E,1,26.26666667,50.56666667
11501,CHRISTS CHURCH,BR,1304N,05930W,55,13.06666667,-59.58333333
10505,CLEVELANDIA,BZ,0352N,05149W,29,3.866666667,-51.75
50301,FERNANDO DE NORONHA,BZ,0350S,03225W,38,-3.833333333,-32.48333333
50302,FORTALEZA,BZ,0346S,03833W,23,-3.766666667,-38.61666667
50304,PARNAMIRIM,BZ,0554S,03515W,50,-5.9,-35.3
50303,RECIFE,BZ,0807S,03455W,9,-8.116666667,-34.88333333
50403,SAO LUIZ,BZ,0235S,04414W,47,-2.583333333,-44.23333333
50401,VAL DE CANS,BZ,0123S,04829W,13,-1.383333333,-48.36666667
10807,PARRITA,CS,0931N,08420W,6,9.516666667,-84.45
10806,SAN JOSE,CS,0954N,08408W,1132,9.9,-84
60701,CANTON ISLAND,CT,0246S,17143W,3,-2.766666667,-171.75
12701,CAMAGUEY,CU,2124N,07755W,123,21.4,-77.86666667
