"SEQN","SDDSRVYR","RIDSTATR","RIAGENDR","RIDAGEYR","RIDAGEMN","RIDRETH1","RIDRETH3","RIDEXMON","RIDEXAGM","DMQMILIZ","DMQADFC","DMDBORN4","DMDCITZN","DMDYRSUS","DMDEDUC3","DMDEDUC2","DMDMARTL","RIDEXPRG","SIALANG","SIAPROXY","SIAINTRP","FIALANG","FIAPROXY","FIAINTRP","MIALANG","MIAPROXY","MIAINTRP","AIALANGA","DMDHHSIZ","DMDFMSIZ","DMDHHSZA","DMDHHSZB","DMDHHSZE","DMDHRGND","DMDHRAGE","DMDHRBR4","DMDHREDU","DMDHRMAR","DMDHSEDU","WTINT2YR","WTMEC2YR","SDMVPSU","SDMVSTRA","INDHHIN2","INDFMIN2","INDFMPIR"
73557,8,2,1,69,,4,4,1,,1,1,1,1,,,3,4,,1,2,2,1,2,2,1,2,2,1,3,3,0,0,2,1,69,1,3,4,,13281.237386,13481.042095,1,112,4,4,0.84
73558,8,2,1,54,,3,3,1,,2,,1,1,,,3,1,,1,2,2,1,2,2,1,2,2,1,4,4,0,2,0,1,54,1,3,1,1,23682.057386,24471.769625,1,108,7,7,1.78
73559,8,2,1,72,,3,3,2,,1,1,1,1,,,4,1,,1,2,2,1,2,2,1,2,2,,2,2,0,0,2,1,72,1,4,1,3,57214.803319,57193.285376,1,109,10,10,4.51
73560,8,2,1,9,,3,3,1,119,,,1,1,,3,,,,1,1,2,1,2,2,1,2,2,1,4,4,0,2,0,1,33,1,3,1,4,55201.178592,55766.512438,2,109,9,9,2.52
73561,8,2,2,73,,3,3,1,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,,2,2,0,0,2,1,78,1,5,1,5,63709.667069,65541.871229,2,116,15,15,5
73562,8,2,1,56,,1,1,1,,1,2,1,1,,,4,3,,1,2,2,1,2,2,1,2,2,1,1,1,0,0,0,1,56,1,4,3,,24978.144602,25344.992359,1,111,9,9,4.79
73563,8,2,1,0,5,3,3,2,6,,,1,1,,,,,,1,1,2,1,2,2,,,,,3,3,1,0,0,1,31,1,5,1,5,18040.818432,17913.555067,1,105,15,15,5
73564,8,2,2,61,,3,3,2,,2,,1,1,,,5,2,,1,2,2,1,2,2,1,2,2,1,1,1,0,0,1,2,61,1,5,2,,60325.095254,61758.65488,1,114,10,10,5
73565,8,1,1,42,,2,2,,,2,,1,1,,,3,1,,1,2,2,1,2,2,,,,,4,4,1,1,0,1,42,1,3,1,5,23307.675629,0,2,106,15,15,5
73566,8,2,2,56,,3,3,1,,2,,1,1,,,3,3,,1,2,2,1,2,2,1,2,2,1,7,7,3,0,0,2,56,1,3,3,,16351.78314,17480.115175,1,112,4,4,0.48
