,tweet,favourite_count,retweet_count,tweet_cleaned,subjectivity,polarity,polarity_analysis,subjectivity_analysis,type
0,"@Apple  hi Apple, can you integrate #airtag technology in the charging case of #airpods, I sometimes misplace my case… no cr1632 needed",0.0,0,"hi Apple, can you integrate technology in the charging case of , I sometimes misplace my case no cr1632 needed",0.0,0.0,Neutral,Objective,Neutral and Objective
1,Why the FUCK do I have to put an airtag on my airpods omfg,0.0,0,Why the FUCK do I have to put an airtag on my airpods omfg,0.6,-0.4,Negative,Subjective,Negative and Subjective
2,@SnazzyQ But what if the AirTag is on your Apple TV remote that is hiding inside your sofa?,0.0,0,But what if the AirTag is on your Apple TV remote that is hiding inside your sofa?,0.2,-0.1,Negative,Objective,Negative and Objective
3,Video coming soon! #AirTag https://t.co/M7YxOAdJzt,0.0,0,Video coming soon!,0.0,0.0,Neutral,Objective,Neutral and Objective
4,Giving ur gf a airtag necklace @Apple,0.0,0,Giving ur gf a airtag necklace,0.0,0.0,Neutral,Objective,Neutral and Objective
5,"New YouTube video is live now go check it out if you have a spare 8mins 

Don’t forget to like and subscribe 👍
It really helps the channel out 😉

https://t.co/SnAPa5CToZ

#Apple #AirTag #Review #YouTube #Video #iPhone #iPadPro #subscribe https://t.co/7uY65jNvQE",0.0,0,New YouTube video is live now go check it out if you have a spare mins Dont forget to like and subscribe It really helps the channel out,0.38484848484848483,0.15757575757575756,Positive,Objective,Positive and Objective
6,@Casey Put an AirTag on the bunny. 🤓,0.0,0,Put an AirTag on the bunny.,0.0,0.0,Neutral,Objective,Neutral and Objective
7,"Finally had some time to jump on the Airtag hacking bandwagon tonight. Thx to @ghidraninja's nRF52 Airtag glitching video, @LennertWo's tweets, and @colinoflynn &amp; @adamcatley's detailed writeups!
https://t.co/qghzIzflFq https://t.co/Ql9HXmU1bA",21.0,3,"Finally had some time to jump on the Airtag hacking bandwagon tonight. Thx to 's nRF52 Airtag glitching video, 's tweets, and &amp; 's detailed writeups!",0.875,0.25,Positive,Subjective,Positive and Subjective
8,"""Convenience comes at a potentially dangerous cost. Dropped covertly into someone’s bag or placed under the seat of their car, the #AirTag can also serve as an inexpensive form of ‘stalkerware.”

https://t.co/9ZhceZNKoP",0.0,4,"""Convenience comes at a potentially dangerous cost. Dropped covertly into someones bag or placed under the seat of their car, the can also serve as an inexpensive form of stalkerware.",0.9,-0.6,Negative,Subjective,Negative and Subjective
9,@TheiPhoneXs plugs,2.0,0,plugs,0.0,0.0,Neutral,Objective,Neutral and Objective
10,@AndrewDoronin Airtag 😉,0.0,0,Airtag,0.0,0.0,Neutral,Objective,Neutral and Objective
11,Oh wow yeah ain’t no tracking nobody with an airtag😹😹😹😹 https://t.co/1B5Tw04Zlq,1.0,0,Oh wow yeah aint no tracking nobody with an airtag,1.0,0.1,Positive,Subjective,Positive and Subjective
12,Are you constantly misplacing your keys? Keep track of those and find your items alongside friends and devices in the Find My app with the new Apple AirTag https://t.co/Vj1odENfB7 #SLrecommends #shopping #commissionearned https://t.co/DrQmUU8ZrA,0.0,0,Are you constantly misplacing your keys? Keep track of those and find your items alongside friends and devices in the Find My app with the new Apple AirTag,0.3939393939393939,0.06818181818181818,Positive,Objective,Positive and Objective
13,"So you're telling me I need a $30 dongle, i mean, adapter, I mean, keyring so the AirTag can be compatible with my keychain? https://t.co/1uSw85nNIO",0.0,0,"So you're telling me I need a $30 dongle, i mean, adapter, I mean, keyring so the AirTag can be compatible with my keychain?",0.6875,-0.3125,Negative,Subjective,Negative and Subjective
14,"Accurately track your bags, keys and more with the new Apple AirTags

Price: $29.99
Link: https://t.co/hWcw25mYu3

Grab a holder for your AirTags here as well: https://t.co/LOKzv0Xdi5 https://t.co/9RThDs3We5",0.0,0,"Accurately track your bags, keys and more with the new Apple AirTagsPrice: $29.99Link: a holder for your AirTags here as well:",0.5292929292929293,0.3454545454545455,Positive,Subjective,Positive and Subjective
15,How Apple’s AirTag turns us into unwitting spies in a vast surveillance network https://t.co/GPuMq7Ehl3,0.0,0,How Apples AirTag turns us into unwitting spies in a vast surveillance network,1.0,0.0,Neutral,Subjective,Neutral and Subjective
16,@Mizzimie Tape an airtag on it.  Lol.  😉,0.0,0,Tape an airtag on it. Lol.,0.7,0.8,Positive,Subjective,Positive and Subjective
17,I made an AirTag bike mount that’s also a bicycle reflector via /r/bicycling https://t.co/pWduDx4Nvs,0.0,0,I made an AirTag bike mount thats also a bicycle reflector via /r/bicycling,0.0,0.0,Neutral,Objective,Neutral and Objective
18,they did surgery on an airtag https://t.co/xKmIMsRidz,1.0,0,they did surgery on an airtag,0.0,0.0,Neutral,Objective,Neutral and Objective
19,There is a life inside your WiFi network that you may not know about.. but you can opt out.. #Amazon #Echo #Apple #AirTag  https://t.co/PBkJ0MRbou,0.0,0,There is a life inside your WiFi network that you may not know about.. but you can opt out..,0.0,0.0,Neutral,Objective,Neutral and Objective
