favourite_count|retweet_count|created_at|tweet_cleaned|tweet_preprocessed
0.0|0|2021-05-17 05:47:00|hi Apple, can you integrate technology in the charging case of , I sometimes misplace my case no cr1632 needed|['hi', 'apple', 'integrate', 'technology', 'charge', 'case', 'sometimes', 'misplace', 'case', 'need']
0.0|0|2021-05-17 05:36:28|Why the FUCK do I have to put an airtag on my airpods omfg|['fuck', 'put', 'airtag', 'airpods', 'omfg']
0.0|0|2021-05-17 05:32:54|But what if the AirTag is on your Apple TV remote that is hiding inside your sofa?|['airtag', 'apple', 'tv', 'remote', 'hiding', 'inside', 'sofa']
0.0|0|2021-05-17 05:32:28|Video coming soon!|['video', 'come', 'soon']
0.0|0|2021-05-17 05:32:26|Giving ur gf a airtag necklace|['give', 'ur', 'gf', 'airtag', 'necklace']
0.0|0|2021-05-17 05:30:49|New YouTube video is live now go check it out if you have a spare mins Dont forget to like and subscribe It really helps the channel out|['new', 'youtube', 'video', 'live', 'go', 'check', 'spare', 'min', 'dont', 'forget', 'like', 'subscribe', 'really', 'help', 'channel']
0.0|0|2021-05-17 05:30:05|Put an AirTag on the bunny.|['put', 'airtag', 'bunny']
21.0|3|2021-05-17 05:20:37|Finally had some time to jump on the Airtag hacking bandwagon tonight. Thx to 's nRF52 Airtag glitching video, 's tweets, and &amp; 's detailed writeups!|['finally', 'time', 'jump', 'airtag', 'hack', 'bandwagon', 'tonight', 'thx', 'airtag', 'glitching', 'video', 'tweet', 'amp', 'detailed', 'writeups']
0.0|4|2021-05-17 05:19:59|"""Convenience comes at a potentially dangerous cost. Dropped covertly into someones bag or placed under the seat of their car, the can also serve as an inexpensive form of stalkerware."|['convenience', 'come', 'potentially', 'dangerous', 'cost', 'drop', 'covertly', 'someone', 'bag', 'place', 'seat', 'car', 'also', 'serve', 'inexpensive', 'form', 'stalkerware']
2.0|0|2021-05-17 05:15:35|plugs|['plug']
0.0|0|2021-05-17 05:12:08|Airtag|['airtag']
1.0|0|2021-05-17 05:09:41|Oh wow yeah aint no tracking nobody with an airtag|['oh', 'wow', 'yeah', 'aint', 'track', 'nobody', 'airtag']
0.0|0|2021-05-17 05:00:21|Are you constantly misplacing your keys? Keep track of those and find your items alongside friends and devices in the Find My app with the new Apple AirTag|['constantly', 'misplace', 'key', 'keep', 'track', 'find', 'item', 'alongside', 'friend', 'device', 'find', 'app', 'new', 'apple', 'airtag']
0.0|0|2021-05-17 04:59:28|So you're telling me I need a $30 dongle, i mean, adapter, I mean, keyring so the AirTag can be compatible with my keychain?|['tell', 'need', 'dongle', 'mean', 'adapter', 'mean', 'keyring', 'airtag', 'compatible', 'keychain']
0.0|0|2021-05-17 04:40:04|Accurately track your bags, keys and more with the new Apple AirTagsPrice: $29.99Link: a holder for your AirTags here as well:|['accurately', 'track', 'bag', 'key', 'new', 'apple', 'airtagsprice', 'holder', 'airtags', 'well']
0.0|0|2021-05-17 04:31:18|How Apples AirTag turns us into unwitting spies in a vast surveillance network|['apple', 'airtag', 'turn', 'u', 'unwitting', 'spy', 'vast', 'surveillance', 'network']
0.0|0|2021-05-17 03:59:19|Tape an airtag on it. Lol.|['tape', 'airtag', 'lol']
0.0|0|2021-05-17 03:58:52|I made an AirTag bike mount thats also a bicycle reflector via /r/bicycling|['make', 'airtag', 'bike', 'mount', 'thats', 'also', 'bicycle', 'reflector', 'via']
1.0|0|2021-05-17 03:55:41|they did surgery on an airtag|['surgery', 'airtag']
0.0|0|2021-05-17 03:53:33|There is a life inside your WiFi network that you may not know about.. but you can opt out..|['life', 'inside', 'wifi', 'network', 'may', 'know', 'opt']
0.0|0|2021-05-17 03:52:46|casi compro un Airtag para colgar en mi celular . literally worms for brains|['casi', 'compro', 'un', 'airtag', 'para', 'colgar', 'en', 'mi', 'celular', 'literally', 'worm', 'brain']
0.0|0|2021-05-17 03:48:32|Yea i saw these. I ordered the phone case that holds the airtag|['yea', 'saw', 'order', 'phone', 'case', 'hold', 'airtag']
0.0|0|2021-05-17 03:45:12|Why Apples new AirTag is a no-brainer purchase for owners|['apple', 'new', 'airtag', 'purchase', 'owner']
0.0|0|2021-05-17 03:40:26|I can't believe I was given an airtag so I'd be able to find my keys and now the airtag is missing lmao|['ca', 'believe', 'give', 'airtag', 'able', 'find', 'key', 'airtag', 'miss', 'lmao']
2.0|0|2021-05-17 03:34:00|AirTag hacked by security researchers days after it was released via|['airtag', 'hack', 'security', 'researcher', 'day', 'release', 'via']
1.0|0|2021-05-17 03:30:07|Maybe best to pay a bit more for the Leather Loop|['maybe', 'best', 'pay', 'bit', 'leather', 'loop']
0.0|0|2021-05-17 03:15:41|Friends what do you think about Apple Airtag comment below?|['friend', 'think', 'apple', 'airtag', 'comment']
0.0|0|2021-05-17 03:02:32|How Apples AirTag turns us into unwitting spies in a vast surveillance network|['apple', 'airtag', 'turn', 'u', 'unwitting', 'spy', 'vast', 'surveillance', 'network']
0.0|0|2021-05-17 02:55:24|Thought I misplaced something then I remember my airtag is attached to it|['thought', 'misplace', 'something', 'remember', 'airtag', 'attach']
1.0|0|2021-05-17 02:55:04|Need an AirTag for slippers, legit dont remember where I left them.|['need', 'airtag', 'slipper', 'legit', 'dont', 'remember', 'left']
0.0|0|2021-05-17 02:53:52|Everyones iPhone (assuming Bluetooth is enabled) is listening for AirTags. When it hears one, it uploads details of that tags identifier and the phones location to Apples servers. - How Apples AirTag turns us into unwitting spies in a...|['everyones', 'iphone', 'assume', 'bluetooth', 'enable', 'listen', 'airtags', 'hears', 'one', 'uploads', 'detail', 'tag', 'identifier', 'phone', 'location', 'apple', 'server', 'apple', 'airtag', 'turn', 'u', 'unwitting', 'spy']
0.0|0|2021-05-17 02:52:39|Pinche airtag cost less than the cover|['pinche', 'airtag', 'cost', 'less', 'cover']
0.0|0|2021-05-17 02:51:45|"Apples new AirTags can only work by tapping into an Apple-operated surveillance network in which millions of us are unwitting participants via |"|['apple', 'new', 'airtags', 'work', 'tap', 'surveillance', 'network', 'million', 'u', 'unwitting', 'participant', 'via']
