,tweet,favourite_count,retweet_count,created_at
0,"@Apple  hi Apple, can you integrate #airtag technology in the charging case of #airpods, I sometimes misplace my case… no cr1632 needed",0,0,2021-05-17 05:47:00
1,Why the FUCK do I have to put an airtag on my airpods omfg,0,0,2021-05-17 05:36:28
2,@SnazzyQ But what if the AirTag is on your Apple TV remote that is hiding inside your sofa?,0,0,2021-05-17 05:32:54
3,Video coming soon! #AirTag https://t.co/M7YxOAdJzt,0,0,2021-05-17 05:32:28
4,Giving ur gf a airtag necklace @Apple,0,0,2021-05-17 05:32:26
5,"New YouTube video is live now go check it out if you have a spare 8mins 

Don’t forget to like and subscribe 👍
It really helps the channel out 😉

https://t.co/SnAPa5CToZ

#Apple #AirTag #Review #YouTube #Video #iPhone #iPadPro #subscribe https://t.co/7uY65jNvQE",0,0,2021-05-17 05:30:49
6,@Casey Put an AirTag on the bunny. 🤓,0,0,2021-05-17 05:30:05
7,"Finally had some time to jump on the Airtag hacking bandwagon tonight. Thx to @ghidraninja's nRF52 Airtag glitching video, @LennertWo's tweets, and @colinoflynn &amp; @adamcatley's detailed writeups!
https://t.co/qghzIzflFq https://t.co/Ql9HXmU1bA",21,3,2021-05-17 05:20:37
8,"""Convenience comes at a potentially dangerous cost. Dropped covertly into someone’s bag or placed under the seat of their car, the #AirTag can also serve as an inexpensive form of ‘stalkerware.”

https://t.co/9ZhceZNKoP",0,4,2021-05-17 05:19:59
9,@TheiPhoneXs plugs,2,0,2021-05-17 05:15:35
10,@AndrewDoronin Airtag 😉,0,0,2021-05-17 05:12:08
11,Oh wow yeah ain’t no tracking nobody with an airtag😹😹😹😹 https://t.co/1B5Tw04Zlq,1,0,2021-05-17 05:09:41
12,Are you constantly misplacing your keys? Keep track of those and find your items alongside friends and devices in the Find My app with the new Apple AirTag https://t.co/Vj1odENfB7 #SLrecommends #shopping #commissionearned https://t.co/DrQmUU8ZrA,0,0,2021-05-17 05:00:21
13,"So you're telling me I need a $30 dongle, i mean, adapter, I mean, keyring so the AirTag can be compatible with my keychain? https://t.co/1uSw85nNIO",0,0,2021-05-17 04:59:28
14,"Accurately track your bags, keys and more with the new Apple AirTags

Price: $29.99
Link: https://t.co/hWcw25mYu3

Grab a holder for your AirTags here as well: https://t.co/LOKzv0Xdi5 https://t.co/9RThDs3We5",0,0,2021-05-17 04:40:04
15,How Apple’s AirTag turns us into unwitting spies in a vast surveillance network https://t.co/GPuMq7Ehl3,0,0,2021-05-17 04:31:18
16,@Mizzimie Tape an airtag on it.  Lol.  😉,0,0,2021-05-17 03:59:19
17,I made an AirTag bike mount that’s also a bicycle reflector via /r/bicycling https://t.co/pWduDx4Nvs,0,0,2021-05-17 03:58:52
18,they did surgery on an airtag https://t.co/xKmIMsRidz,1,0,2021-05-17 03:55:41
19,There is a life inside your WiFi network that you may not know about.. but you can opt out.. #Amazon #Echo #Apple #AirTag  https://t.co/PBkJ0MRbou,0,0,2021-05-17 03:53:33
20,casi compro un Airtag para colgar en mi celular …. literally worms for brains 😐,0,0,2021-05-17 03:52:46
21,@DCForReal1 Yea i saw these. I ordered the phone case that holds the airtag,0,0,2021-05-17 03:48:32
22,Why Apples new AirTag is a no-brainer purchase for #IPHONE owners https://t.co/WQuHPCtFLM #Tweet4Mee,0,0,2021-05-17 03:45:12
23,I can't believe I was given an airtag so I'd be able to find my keys and now the airtag is missing lmao,0,0,2021-05-17 03:40:26
24,#Apple AirTag hacked by security researchers days after it was released https://t.co/k1lwkoJRn6 via @MailOnline #AirTags #Security,2,0,2021-05-17 03:34:00
25,Maybe best to pay a bit more for the Leather Loop https://t.co/f2oZ1u6BDZ,1,0,2021-05-17 03:30:07
26,Friends what do you think about Apple Airtag comment below?@airtags https://t.co/9BK843WKY4,0,0,2021-05-17 03:15:41
27,How Apple’s AirTag turns us into unwitting spies in a vast surveillance network https://t.co/ylGcdr99Qj,0,0,2021-05-17 03:02:32
28,Thought I misplaced something then I remember my airtag is attached to it☺️ https://t.co/YwQcD3ETHc,0,0,2021-05-17 02:55:24
29,"Need an AirTag for slippers, legit dont remember where I left them.",1,0,2021-05-17 02:55:04
